species;length;weight
Anabas testudineus;10.66;3.45
Anabas testudineus;6.91;3.27
Anabas testudineus;8.38;3.46
Anabas testudineus;7.57;3.36
Anabas testudineus;10.83;3.38
Anabas testudineus;9.35;3.28
Anabas testudineus;9.42;3.33
Anabas testudineus;7.92;3.13
Anabas testudineus;6.98;3.16
Anabas testudineus;8.42;3.26
Anabas testudineus;8.03;3.40
Anabas testudineus;10.27;3.16
Anabas testudineus;8.43;3.33
Anabas testudineus;7.00;3.20
Anabas testudineus;7.46;3.25
Anabas testudineus;9.41;3.21
Anabas testudineus;6.64;3.20
Anabas testudineus;8.17;3.30
Anabas testudineus;8.85;3.07
Anabas testudineus;7.83;3.16
Anabas testudineus;10.19;3.24
Anabas testudineus;9.21;3.36
Anabas testudineus;6.67;3.31
Anabas testudineus;8.25;3.32
Anabas testudineus;7.21;3.40
Anabas testudineus;9.52;3.23
Anabas testudineus;7.13;3.20
Anabas testudineus;8.97;3.25
Anabas testudineus;6.74;3.11
Anabas testudineus;7.54;3.21
Anabas testudineus;10.81;3.26
Anabas testudineus;10.56;3.41
Anabas testudineus;7.48;3.11
Anabas testudineus;8.74;3.37
Anabas testudineus;8.78;3.24
Anabas testudineus;7.16;3.48
Anabas testudineus;9.47;3.45
Anabas testudineus;7.10;3.26
Anabas testudineus;7.23;3.31
Anabas testudineus;7.88;3.30
Anabas testudineus;8.31;3.35
Anabas testudineus;7.28;3.20
Anabas testudineus;7.52;3.15
Anabas testudineus;6.88;3.29
Anabas testudineus;8.51;3.48
Anabas testudineus;9.21;3.12
Anabas testudineus;8.25;3.17
Anabas testudineus;10.13;3.34
Anabas testudineus;9.84;3.42
Anabas testudineus;8.67;3.31
Anabas testudineus;8.17;3.30
Anabas testudineus;7.45;3.09
Anabas testudineus;9.45;3.32
Anabas testudineus;7.28;3.30
Anabas testudineus;9.92;3.33
Anabas testudineus;9.26;3.25
Anabas testudineus;6.94;3.29
Anabas testudineus;8.03;3.29
Anabas testudineus;9.81;3.39
Anabas testudineus;7.61;3.29
Anabas testudineus;7.87;3.24
Anabas testudineus;6.70;3.24
Anabas testudineus;7.81;3.37
Anabas testudineus;9.74;3.26
Anabas testudineus;8.14;3.17
Anabas testudineus;7.89;3.25
Anabas testudineus;7.34;3.25
Anabas testudineus;6.86;3.34
Anabas testudineus;7.16;3.20
Anabas testudineus;9.43;3.27
Anabas testudineus;10.58;3.37
Anabas testudineus;7.69;3.31
Anabas testudineus;6.39;3.06
Anabas testudineus;8.53;3.39
Anabas testudineus;7.94;3.18
Anabas testudineus;9.73;3.32
Anabas testudineus;9.83;3.35
Anabas testudineus;9.30;3.17
Anabas testudineus;7.68;3.41
Anabas testudineus;6.85;3.26
Anabas testudineus;8.39;3.26
Anabas testudineus;8.77;3.34
Anabas testudineus;8.74;3.32
Anabas testudineus;6.87;3.23
Anabas testudineus;8.31;3.35
Anabas testudineus;9.34;3.18
Anabas testudineus;7.23;3.31
Anabas testudineus;7.33;3.45
Anabas testudineus;6.70;3.22
Anabas testudineus;7.77;3.06
Anabas testudineus;6.79;3.18
Anabas testudineus;7.22;3.28
Anabas testudineus;8.54;3.08
Anabas testudineus;7.41;3.11
Anabas testudineus;6.63;3.18
Anabas testudineus;7.20;3.47
Anabas testudineus;7.31;3.26
Anabas testudineus;8.94;3.29
Anabas testudineus;7.06;3.29
Anabas testudineus;9.40;3.44
Anabas testudineus;7.35;3.29
Anabas testudineus;8.58;3.24
