,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.02269729014664574,0.28918069769367544,0.08902070136217162,0.023085643656347937,-0.049395859081173256,0.09106975615864002,0.26533101383919366,-0.42585829099138095,-0.017142985021138347,-0.12088112319453229,-0.11366283071301828
volatile acidity,-0.02269729014664574,1.0,-0.1494718106485741,0.06428606009099537,0.07051157147938515,-0.09701193927795991,0.08926050355177925,0.02711384546243891,-0.031915368273487926,-0.03572814690581469,0.06771794277504319,-0.19472296892113433
citric acid,0.28918069769367544,-0.1494718106485741,1.0,0.09421162429049404,0.11436444838681838,0.09407722101469648,0.12113079766441845,0.14950257057002694,-0.1637482114006214,0.0623309402852321,-0.07572873005717874,-0.009209090883975599
residual sugar,0.08902070136217162,0.06428606009099537,0.09421162429049404,1.0,0.08868453594122543,0.29909835369351895,0.40143931115992576,0.8389664549045688,-0.1941334539902569,-0.026664365853858164,-0.4506312220317284,-0.09757682889469342
chlorides,0.023085643656347937,0.07051157147938515,0.11436444838681838,0.08868453594122543,1.0,0.10139235214133048,0.1989102996450559,0.2572113204364393,-0.09043945597598134,0.016762883708175674,-0.3601887121081631,-0.2099344109467597
free sulfur dioxide,-0.049395859081173256,-0.09701193927795991,0.09407722101469648,0.29909835369351895,0.10139235214133048,1.0,0.6155009650098362,0.2942104108843051,-0.0006177961403316284,0.05921724582526308,-0.25010394148353127,0.00815806712343596
total sulfur dioxide,0.09106975615864002,0.08926050355177925,0.12113079766441845,0.40143931115992576,0.1989102996450559,0.6155009650098362,1.0,0.5298813238786172,0.0023209717682778383,0.13456236692980836,-0.44889210206134,-0.17473721759706268
density,0.26533101383919366,0.02711384546243891,0.14950257057002694,0.8389664549045688,0.2572113204364393,0.2942104108843051,0.5298813238786172,1.0,-0.093591493455227,0.07449314851167903,-0.7801376214255638,-0.30712331273473337
pH,-0.42585829099138095,-0.031915368273487926,-0.1637482114006214,-0.1941334539902569,-0.09043945597598134,-0.0006177961403316284,0.0023209717682778383,-0.093591493455227,1.0,0.15595149727965096,0.1214320987491308,0.0994272457366644
sulphates,-0.017142985021138347,-0.03572814690581469,0.0623309402852321,-0.026664365853858164,0.016762883708175674,0.05921724582526308,0.13456236692980836,0.07449314851167903,0.15595149727965096,1.0,-0.017432771855951528,0.05367787713279208
alcohol,-0.12088112319453229,0.06771794277504319,-0.07572873005717874,-0.4506312220317284,-0.3601887121081631,-0.25010394148353127,-0.44889210206134,-0.7801376214255638,0.1214320987491308,-0.017432771855951528,1.0,0.4355747154613738
quality,-0.11366283071301828,-0.19472296892113433,-0.009209090883975599,-0.09757682889469342,-0.2099344109467597,0.00815806712343596,-0.17473721759706268,-0.30712331273473337,0.0994272457366644,0.05367787713279208,0.4355747154613738,1.0
